Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12986321,Sinek Isırıklarının Müellifi,Barış Bıçakçı,"Bıçakçı, Barış",,"=""9750509633""","=""9789750509636""",5,3.99,İletişim Yayınları,Paperback,166,2016,2011,,2015/06/02,,,read,,,,1,0
24517677,Yanlış,Αντώνης Σαμαράκης,"Σαμαράκης, Αντώνης",Ari Çokona,"=""9750504399""","=""9789750504396""",4,4.30,İletişim Yayınları,Paperback,204,2006,1965,,2015/06/02,,,read,,,,1,0
9523655,Aşktan ve Gölgeden,Isabel Allende,"Allende, Isabel",Eren Yücesan Cendey,"=""""","=""""",4,3.99,Can Yayınları,Paperback,263,,1984,,2015/06/02,,,read,,,,1,0
816552,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""0349117543""","=""9780349117546""",5,4.27,Abacus,Paperback,933,2005,2003,,2015/06/02,,,read,,,,1,0
17656651,Lütfen Anneme İyi Bak,Shin Kyung-sook,"Kyung-sook, Shin",Belgin Selen Haktanır,"=""6050901228""","=""9786050901221""",4,3.89,Doğan Kitap,Paperback,231,2011,2008,,2015/06/02,,,read,,,,1,0
12492030,Sen Uyumadan Önce,Linn Ullmann,"Ullmann, Linn",Aylin Yengin,"=""9750700066""","=""9789750700064""",4,3.36,Can Yayınları,Paperback,279,2000,1998,,2015/06/02,,,read,,,,1,0
17852462,Miramar,Naguib Mahfouz,"Mahfouz, Naguib",Suat Ertüzün,"=""6055596822""","=""9786055596828""",4,3.82,Turkuvaz Kitap,Paperback,176,2010,1967,,2015/06/02,,,read,,,,1,0
18796945,Eleştirmenin Ölümü,Martin Walser,"Walser, Martin",Ogün Duman,"=""9750704479""","=""9789750704475""",3,2.64,Can Yayınları,Paperback,236,2004,2002,,2015/06/02,,,read,,,,1,0
11569389,Ölüm Pornosu,Chuck Palahniuk,"Palahniuk, Chuck",Funda Uncu,"=""9755395911""","=""9789755395913""",3,3.22,Ayrıntı Yayınları,Paperback,191,2011,2008,,2015/06/02,,,read,,,,1,0
15848508,Kartal Yuvası,Anna Kavan,"Kavan, Anna",Roza Hakmen,"=""""","=""9789759174552""",3,3.91,Merkez Kitapları,Paperback,144,2006,1957,,2015/06/02,,,read,,,,1,0
10099559,Karanlık Oda,Hakan Bıçakcı,"Bıçakcı, Hakan",,"=""9750508327""","=""9789750508325""",3,3.67,İletişim Yayınları,Paperback,176,2010,2010,,2015/06/02,,,read,,,,1,0
9803219,Karanlıkta Kahkaha,Vladimir Nabokov,"Nabokov, Vladimir",Pınar Kür,"=""""","=""9789754703573""",4,4.00,İletişim Yayınları,Paperback,223,1993,1932,,2015/06/02,,,read,,,,1,0
